URL,name,title,owner_org,public_site,Owner ,notes,location,region,latitude,longitude,site_type,status,,,,ckan_version,extensions,contact_email,tag_string,language,num_datasets,num_organizations,num_groups,is_featured,topic_id
https://datos.santander.es,datossantanderes,Datos Abiertos Santander,Santander,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://santander.es,has_api,EN,,,,,
https://opendata-ajuntament.barcelona.cat,opendataajuntamentbarcelonacat,Open Data Barcelona,Ajuntament de Barcelona,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://barcelona.cat,"government,has_api",EN,,,,,
https://opendata.alcoi.org,opendataalcoiorg,Datos abiertos e información interesante de Alcoy,Ayntamient d Alcoi,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://alcoi.org,"government,has_api",EN,,,,,
http://opendata.ayto-caceres.es,opendataaytocacereses,OpenData Cáceres,Ayto Caceres,open,Local government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://ayto-caceres.es,"has_api,government",EN,,,,,
https://www.juntadeandalucia.es/datosabiertos/portal,wwwjuntadeandaluciaes,Datos Abiertos Junta de Andalucia,Junta de Andalucia,open,Regional government,,,ES,dataset,,Open data portal,active,active,TRUE,,,,https://www.gva.es,has_api,ES,,,,,
https://catalogue.nextgeoss.eu,cataloguenextgeosseu,NextGeoss Data Catalogue,NextGEOSS,open,Academy,,,EU,dataset,,Open data portal,uncertain,active,TRUE,,,,https://nextgeoss.eu,has_api,EN,,,,,
https://ckan.pearlpv-cost.eu,ckanpearlpvcosteu,Pearl PV CKAN Repository,Performance and Reliability of Photovoltaic Systems. Evaluations of Large-Scale Monitoring Data,open,Academy,,,EU,dataset,,Open data portal,active,active,TRUE,,,,https://pearlpv-cost.eu,has_api,EN,,,,,
https://data.edincubator.eu,dataedincubatoreu,EDI Data Catalogue,European Data Incubator,open,Academy,,,EU,dataset,,Open data portal,active,active,TRUE,,,,https://edincubator.eu,has_api,EN,,,,,
https://data.anaee.eu,dataanaeeeu,Analysis and experimentation on ecosystems data portal,Analysis and experimentation on ecosystems EU Project,open,Academy,,,EU,dataset,,Scientific data repository,active,active,TRUE,,,,https://www.anaee.eu,"government,has_api",EN,,,,,
https://avoindata.fi,avoindatafi,Avoindata.fi,Verkkopalvelun kehittämisestä vastaa,open,Central government,,,FI,dataset,,Open data portal,active,active,TRUE,,,,https://dvv.fi,"government,has_api",FI,,,,,
https://data.fingrid.fi,datafingridfi,Fingridin avoin data,Fingrid,open,Central government,,,FI,dataset,,Open data portal,active,active,TRUE,,,,https://www.fingrid.fi,"government,has_api",FI,,,,,
https://data.tampere.fi,datatamperefi,Tampereen kaupungin dataportaali,Tampere,open,Local government,,,FI,dataset,,Open data portal,active,active,TRUE,,,,https://tampere.fi,"government,has_api",FI,,,,,
https://hri.fi,hrifi,Helsinki Region Infoshare,Helsinki Region,open,Local government,,,FI,dataset,,Open data portal,active,active,TRUE,,,,https://hel.fi,"government,has_api",FI,,,,,
https://data.agglo-royan.fr,dataaggloroyanfr,Open Data CARA,,open,Community,,,FR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,FR,,,,,
https://data.agriculturelittorale.fr,dataagriculturelittoralefr,data.agriculturelittorale.fr,,open,Academy,,,FR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,EN,,,,,
https://nosdonnees.fr,nosdonneesfr,NosDonnées.fr,,open,Civil society,,,FR,dataset,,Open data portal,deprecated,active,TRUE,,,,,has_api,FR,,,,,
https://opendata.abbeville.fr,opendataabbevillefr,ODAF - OpenData.Abbeville.Fr,City of Abbeville,open,Local government,,,FR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",FR,,,,,
https://opendata.adico.fr,opendataadicofr,Une plateforme. Open data. Pour vous.,Adico,open,Business,,,FR,dataset,,Open data portal,active,active,TRUE,,,,https://adico.fr,has_api,FR,,,,,
https://opendata.hautsdefrance.fr,opendatahautsdefrancefr,OPEN DATA Hauts-de-France,Région Hauts-de-France,open,Regional government,,,FR,dataset,,Open data portal,uncertain,active,TRUE,,,,,"government,has_api",FR,,,,,
https://opendata.ozwillo.com,opendataozwillocom,Ozwillo - Open Data,,open,Business,,,FR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,FR,,,,,
https://trouver.datasud.fr,trouverdatasudfr,DATA SUD,Region Sud,open,Regional government,,,FR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",FR,,,,,
https://www.geo2france.fr,wwwgeo2francefr,Data Hauts-de-France,,open,Community,,,FR,dataset,,Open data portal,deprecated,active,TRUE,,,,,has_api,FR,,,,,
https://www.pigma.org,wwwpigmaorg,Data Nouvelle-Aquitaine,,open,Regional government,,,FR,dataset,,Open data portal,deprecated,active,TRUE,,,,,"government,has_api",FR,,,,,
https://ckan.cabi.org,ckancabiorg,CABI Data Repository,CABI,open,Academy,,,GB,dataset,,Open data portal,active,active,TRUE,,,,https://www.cabi.org,has_api,EN,,,,,
https://ckan.publishing.service.gov.uk,ckanpublishingservicegovuk,Data.gov.uk CKAN data portal,Government of United Kingdom,open,Central government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://data.gov.uk,datagovuk,UK Open data portal,Government of United Kingdom,open,Central government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
http://dartportal.leeds.ac.uk,dartportalleedsacuk,The Detection of Archaeological Residues using Remote-sensing Techniques (DART) data portal,University of Leeds,open,Academy,,,GB,dataset,,Open data portal,active,active,TRUE,,,,https://www.leeds.ac.uk,has_api,EN,,,,,
https://data.barrowbc.gov.uk,databarrowbcgovuk,Barrow Borough Council Data Portal,Barrow Borough Council,open,Local government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,https://www.barrowbc.gov.uk,"government,has_api",EN,,,,,
https://www.cityobservatory.birmingham.gov.uk,cityobservatorybirminghamgovuk,Birmingham City Observatory,Birmingham City,open,Local government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,https://www.birmingham.gov.uk,"government,has_api",EN,,,,,
https://data.bris.ac.uk/data/,databrisacuk,University of Bristol. Research Data Repository,University of Bristol,open,Academy,,,GB,dataset,,Open data portal,active,active,TRUE,,,,https://www.bris.ac.uk,has_api,EN,,,,,
https://data.england.nhs.uk,dataenglandnhsuk,NHS England Data Catalogue,National health service of England,open,Regional government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://data.glasgow.gov.uk,dataglasgowgovuk,Open Data Glasgow,City of Glasgow,open,Local government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://data.london.gov.uk,datalondongovuk,London Datastore,City of London,open,Local government,,,GB,dataset,,Open data portal,uncertain,active,TRUE,,,,https://www.london.gov.uk,"government,has_api",EN,,,,,
https://dataworks.calderdale.gov.uk,dataworkscalderdalegovuk,Calderdale Data Works,Calderdale Council,open,Local government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://leedsdatamill.org,leedsdatamillorg,Data Mill North,Leeds City Council,open,Local government,,,GB,dataset,,Open data portal,active,active,TRUE,,,,,has_api,EN,,,,,
